Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
22.CT8,17.763,9.298,1.847,1.848,1,8.581,17.333
22.CT8,17.763,9.298,1.847,1.848,1,8.581,17.333
22.CT8,17.763,9.298,1.847,1.848,1,8.581,17.333
22.CT9,19.567,12.048,1.847,1.848,1,8.581,17.333
22.CT9,19.567,12.048,1.847,1.848,1,8.581,17.333
22.CT9,19.567,12.048,1.847,1.848,1,8.581,17.333
EM12.13,18.536,13.201,1.843,1.906,2,11.724,17.977
EM12.13,18.536,13.201,1.843,1.906,2,11.724,17.977
EM12.13,18.536,13.201,1.843,1.906,2,11.724,17.977
EM12.14,15.891,11.06,1.843,1.906,2,11.724,17.977
EM12.14,15.891,11.06,1.843,1.906,2,11.724,17.977
EM12.14,15.891,11.06,1.843,1.906,2,11.724,17.977
EM12.15,16.232,11.867,1.843,1.906,2,11.724,17.977
EM12.15,16.232,11.867,1.843,1.906,2,11.724,17.977
EM12.15,16.232,11.867,1.843,1.906,2,11.724,17.977
EM12.16,17.031,12.137,1.843,1.906,2,11.724,17.977
EM12.16,17.031,12.137,1.843,1.906,2,11.724,17.977
EM12.16,17.031,12.137,1.843,1.906,2,11.724,17.977
EM12.7,16.525,10.003,1.843,1.906,2,11.724,17.977
EM12.7,16.525,10.003,1.843,1.906,2,11.724,17.977
EM12.7,16.525,10.003,1.843,1.906,2,11.724,17.977
EM12.8,19.112,11.25,1.843,1.906,2,11.724,17.977
EM12.8,19.112,11.25,1.843,1.906,2,11.724,17.977
EM12.8,19.112,11.25,1.843,1.906,2,11.724,17.977
EM39.101,19.619,12.431,1.843,1.906,2,11.724,17.977
EM39.101,19.619,12.431,1.843,1.906,2,11.724,17.977
EM39.101,19.619,12.431,1.843,1.906,2,11.724,17.977
EM39.102,17.665,14.069,1.843,1.906,2,11.724,17.977
EM39.102,17.665,14.069,1.843,1.906,2,11.724,17.977
EM39.102,17.665,14.069,1.843,1.906,2,11.724,17.977
EM39.103,18.572,15.202,1.843,1.906,2,11.724,17.977
EM39.103,18.572,15.202,1.843,1.906,2,11.724,17.977
EM39.103,18.572,15.202,1.843,1.906,2,11.724,17.977
EM39.104,17.78,13.34,1.843,1.906,2,11.724,17.977
EM39.104,17.78,13.34,1.843,1.906,2,11.724,17.977
EM39.104,17.78,13.34,1.843,1.906,2,11.724,17.977
EM39.105,17.439,13.975,1.843,1.906,2,11.724,17.977
EM39.105,17.439,13.975,1.843,1.906,2,11.724,17.977
EM39.105,17.439,13.975,1.843,1.906,2,11.724,17.977
EM39.106,17.921,14.069,1.843,1.906,2,11.724,17.977
EM39.106,17.921,14.069,1.843,1.906,2,11.724,17.977
EM39.106,17.921,14.069,1.843,1.906,2,11.724,17.977
EP50.370,16.402,10.096,1.839,1.907,3,11.226,17.531
EP50.370,16.402,10.096,1.839,1.907,3,11.226,17.531
EP50.370,16.402,10.096,1.839,1.907,3,11.226,17.531
EP50.371,16.187,10.284,1.839,1.907,3,11.226,17.531
EP50.371,16.187,10.284,1.839,1.907,3,11.226,17.531
EP50.371,16.187,10.284,1.839,1.907,3,11.226,17.531
EP50.372,17.18,11.13,1.839,1.907,3,11.226,17.531
EP50.372,17.18,11.13,1.839,1.907,3,11.226,17.531
EP50.372,17.18,11.13,1.839,1.907,3,11.226,17.531
EP50.373,16.701,12.462,1.839,1.907,3,11.226,17.531
EP50.373,16.701,12.462,1.839,1.907,3,11.226,17.531
EP50.373,16.701,12.462,1.839,1.907,3,11.226,17.531
EP50.374,18.225,11.912,1.839,1.907,3,11.226,17.531
EP50.374,18.225,11.912,1.839,1.907,3,11.226,17.531
EP50.374,18.225,11.912,1.839,1.907,3,11.226,17.531
EP50.375,16.617,10.651,1.839,1.907,3,11.226,17.531
EP50.375,16.617,10.651,1.839,1.907,3,11.226,17.531
EP50.375,16.617,10.651,1.839,1.907,3,11.226,17.531
EP6.35,18.74,13.745,1.843,1.906,2,11.724,17.977
EP6.35,18.74,13.745,1.843,1.906,2,11.724,17.977
EP6.35,18.74,13.745,1.843,1.906,2,11.724,17.977
EP6.77,19.883,13.235,1.843,1.906,2,11.724,17.977
EP6.77,19.883,13.235,1.843,1.906,2,11.724,17.977
