,Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg,tel.cq,scg.cq,top,bottom,ratio,ratio2,mean,sd,zscore
128,IO43.87,18.124,10.847,1.839,1.907,3,11.226,17.531,0.379,-0.593,1.277182363,0.696791805,1.832946876,1.832946876,,,0.079402007
129,IO43.92,17.457,10.29,1.839,1.907,3,11.226,17.531,0.936,0.074,1.829819488,1.046114081,1.749158644,1.749158644,,,0.044921253
130,IO43.93,18.458,12.962,1.839,1.907,3,11.226,17.531,-1.736,-0.927,0.326070265,0.568502969,0.573559477,0.573559477,,,-0.438864413
131,LG1,19.09,10.389,1.847,1.848,1,8.581,17.333,-1.808,-1.757,0.329460114,0.340265302,0.968244813,0.968244813,,,-0.276442464
132,LG10,18.522,8.197,1.847,1.848,1,8.581,17.333,0.384,-1.189,1.265941261,0.482137444,2.625685428,2.625685428,,,0.405631863
133,LG13,18.983,7.862,1.847,1.848,1,8.581,17.333,0.719,-1.65,1.555101407,0.36335373,4.279855356,4.279855356,,,1.086360229
134,LG15,17.63,9.016,1.847,1.848,1,8.581,17.333,-0.435,-0.297,0.765569538,0.833411199,0.918597613,0.918597613,,,-0.29687341
135,LG15.13,17.951,10.74,1.839,1.907,3,11.226,17.531,0.486,-0.42,1.368517757,0.774240123,1.767562435,1.767562435,,,0.052494829
136,LG15.14,17.476,12.545,1.839,1.907,3,11.226,17.531,-1.319,0.055,0.426793146,1.034074896,0.412729433,0.412729433,,,-0.505049616
137,LG15.15,18.079,12.267,1.839,1.907,3,11.226,17.531,-1.041,-0.548,0.510687148,0.716158601,0.713092249,0.713092249,,,-0.381443519
138,LG15.16,17.022,13.326,1.839,1.907,3,11.226,17.531,-2.1,0.509,0.257788503,1.363553242,0.189056426,0.189056426,,,-0.597096121
139,LG15.17,17.304,13.467,1.839,1.907,3,11.226,17.531,-2.241,0.227,0.235360781,1.148312395,0.204962328,0.204962328,,,-0.590550482
140,LG15.18,19.574,15.011,1.839,1.907,3,11.226,17.531,-3.785,-2.043,0.086870561,0.28804446,0.301587335,0.301587335,,,-0.550787105
141,LG2,18.651,9.322,1.847,1.848,1,8.581,17.333,-0.741,-1.318,0.634415584,0.445447609,1.424220428,1.424220428,,,-0.088798178
142,LG4,20.714,7.425,1.847,1.848,1,8.581,17.333,1.156,-3.381,2.033796397,0.125624812,16.18944822,16.18944822,,,5.987427253
143,LG5,19.891,8.546,1.847,1.848,1,8.581,17.333,0.035,-2.558,1.021726291,0.208150607,4.908591459,4.908591459,,,1.345099366
144,LG6,19.251,9.022,1.847,1.848,1,8.581,17.333,-0.441,-1.918,0.762753892,0.308259518,2.474388782,2.474388782,,,0.343369869
145,LG7,18.269,16.197,1.847,1.848,1,8.581,17.333,-7.616,-0.936,0.009306745,0.563101891,0.01652764,0.01652764,,,-0.668095622
146,LG8,19.436,8.762,1.847,1.848,1,8.581,17.333,-0.181,-2.103,0.894801996,0.275182061,3.251672702,3.251672702,,,0.663239795
147,LP10,21.92,7.856,1.847,1.848,1,8.581,17.333,0.725,-4.587,1.56084194,0.059939946,26.04009566,26.04009566,,,10.04119163
148,LP11,17.541,8.364,1.847,1.848,1,8.581,17.333,0.217,-0.208,1.142547664,0.88018687,1.29807397,1.29807397,,,-0.140710301
149,LP12,18.783,6.847,1.847,1.848,1,8.581,17.333,1.734,-1.45,2.900422133,0.410792969,7.060544734,7.060544734,,,2.230676845
150,LP13,18.098,7.39,1.847,1.848,1,8.581,17.333,1.191,-0.765,2.07798325,0.625392725,3.322685357,3.322685357,,,0.69246311
151,LP16,25.367,7.216,1.847,1.848,1,8.581,17.333,1.365,-8.034,2.312321327,0.00723111,319.774054,,,,-0.674897119
152,LP17,18.221,9.717,1.847,1.848,1,8.581,17.333,-1.136,-0.888,0.497767532,0.579932432,0.858319874,0.858319874,,,-0.321679064
153,LP3,18.27,9.618,1.847,1.848,1,8.581,17.333,-1.037,-0.937,0.528968804,0.562756499,0.939960365,0.939960365,,,-0.288082154
154,LP4,18.078,10.153,1.847,1.848,1,8.581,17.333,-1.572,-0.745,0.380841711,0.633114358,0.601536999,0.601536999,,,-0.427351029
155,LP8,17.287,10.351,1.847,1.848,1,8.581,17.333,-1.77,0.046,0.337238787,1.028625952,0.327853664,0.327853664,,,-0.539977916
156,LP9,17.862,7.878,1.847,1.848,1,8.581,17.333,0.703,-0.529,1.539896326,0.722834732,2.130357406,2.130357406,,,0.201793171
157,LR10,16.92,6.825,1.847,1.848,1,8.581,17.333,1.756,0.413,2.93987357,1.288400331,2.281801315,2.281801315,,,0.264115767
158,LR2,16.947,9.086,1.847,1.848,1,8.581,17.333,-0.505,0.386,0.73335711,1.267232264,0.578707732,0.578707732,,,-0.436745789
159,LR3,19.276,8.674,1.847,1.848,1,8.581,17.333,-0.093,-1.943,0.944488593,0.303567184,3.111300043,3.111300043,,,0.605473269
160,LR4,19.422,8.907,1.847,1.848,1,8.581,17.333,-0.326,-2.089,0.818568746,0.277556023,2.949201889,2.949201889,,,0.538766209
161,LR5,16.748,7.281,1.847,1.848,1,8.581,17.333,1.3,0.585,2.221838853,1.431802558,1.551777402,1.551777402,,,-0.036305596
162,LR6,17.531,7.882,1.847,1.848,1,8.581,17.333,0.699,-0.198,1.536118342,0.88560397,1.734543198,1.734543198,,,0.038906666
163,LR7,18.28,7.953,1.847,1.848,1,8.581,17.333,0.628,-0.947,1.470580609,0.559314206,2.629256675,2.629256675,,,0.407101512
164,LR8,17.865,9.516,1.847,1.848,1,8.581,17.333,-0.935,-0.532,0.563162413,0.721505443,0.780537997,0.780537997,,,-0.353688067
165,LR9,18.76,8.195,1.847,1.848,1,8.581,17.333,0.386,-1.427,1.267497056,0.416631153,3.042252236,3.042252236,,,0.577058533
166,M1,20.747,12.928,1.847,1.848,1,8.581,17.333,-4.347,-3.414,0.069286169,0.123106793,0.562813532,0.562813532,,,-0.443286612
167,M10,20.399,9.208,1.847,1.848,1,8.581,17.333,-0.627,-3.066,0.680421247,0.152409662,4.464423322,4.464423322,,,1.162314124
168,M11,18.861,10.069,1.847,1.848,1,8.581,17.333,-1.488,-1.528,0.401002863,0.391596304,1.024021063,1.024021063,,,-0.253489275
169,M2,19.072,10.232,1.847,1.848,1,8.581,17.333,-1.651,-1.739,0.362806495,0.344044064,1.054534964,1.054534964,,,-0.240932113
170,M3,18.728,8.634,1.847,1.848,1,8.581,17.333,-0.053,-1.395,0.96797646,0.424892124,2.278169928,2.278169928,,,0.26262137
171,M4,18.308,8.067,1.847,1.848,1,8.581,17.333,0.514,-0.975,1.371149504,0.549787393,2.493963161,2.493963161,,,0.351425169
172,M5,18.845,9.944,1.847,1.848,1,8.581,17.333,-1.363,-1.512,0.432997331,0.395459537,1.094921957,1.094921957,,,-0.224311952
173,M6,18.949,10.222,1.847,1.848,1,8.581,17.333,-1.641,-1.616,0.365041359,0.371013316,0.983903658,0.983903658,,,-0.269998494
174,M7,18.448,8.135,1.847,1.848,1,8.581,17.333,0.446,-1.115,1.315070626,0.504532807,2.606511622,2.606511622,,,0.397741408
175,M8,18.526,9.823,1.847,1.848,1,8.581,17.333,-1.242,-1.193,0.466397439,0.480955609,0.969730741,0.969730741,,,-0.275830971
176,M9,22.216,10.882,1.847,1.848,1,8.581,17.333,-2.301,-4.883,0.243398991,0.049985282,4.869413154,4.869413154,,,1.328976607
177,ME01,19.634,14.024,1.843,1.906,2,11.724,17.977,-2.3,-1.657,0.226838799,0.363098554,0.624730658,0.624730658,,,-0.417806314
178,ME02,20.24,13.548,1.843,1.906,2,11.724,17.977,-1.824,-2.263,0.308358438,0.250677968,1.230097882,1.230097882,,,-0.168683999
179,ME03,17.81,11.078,1.843,1.906,2,11.724,17.977,0.646,0.167,1.516908521,1.10749744,1.36967226,1.36967226,,,-0.111245984
180,P32.14,16.964,10.564,1.843,1.906,2,11.724,17.977,1.16,1.013,2.113209526,1.857706773,1.137536643,1.137536643,,,-0.206775044
181,P32.16,16.032,10.424,1.843,1.906,2,11.724,17.977,1.3,1.945,2.312915493,3.284329922,0.704227513,0.704227513,,,-0.385091558
182,P32.2,21.739,15.364,1.843,1.906,2,11.724,17.977,-3.64,-3.762,0.095576838,0.100252149,0.953364483,0.953364483,,,-0.282566056
